state_name,district_name
Andhra Pradesh,Anantapur
Andhra Pradesh,Krishna
Andhra Pradesh,West Godavari
Telangana,Adilabad
Andhra Pradesh,Chittoor
Andhra Pradesh,East Godavari
Andhra Pradesh,Guntur
Andhra Pradesh,Kadapa
Andhra Pradesh,Karimnagar
Andhra Pradesh,Khammam
Andhra Pradesh,Kurnool
Telangana,Mahabubnagar
Andhra Pradesh,Medak
Andhra Pradesh,Nalgonda
Andhra Pradesh,Nizamabad
Andhra Pradesh,Prakasam
Andhra Pradesh,Rangareddi
Andhra Pradesh,Sri Potti Sriramulu Nellore
Andhra Pradesh,Srikakulam
Andhra Pradesh,Visakhapatanam
Andhra Pradesh,Vizianagaram
Andhra Pradesh,Warangal
Arunachal Pradesh,Anjaw
Arunachal Pradesh,Changlang
Arunachal Pradesh,Dibang Valley
Arunachal Pradesh,East Kameng
Arunachal Pradesh,East Siang
Arunachal Pradesh,Kurung Kumey
Arunachal Pradesh,Lohit
Arunachal Pradesh,Lower Dibang Valley
Arunachal Pradesh,Lower Subansiri
Arunachal Pradesh,Papum Pare
Arunachal Pradesh,Tawang
Arunachal Pradesh,Tirap
Arunachal Pradesh,Upper Siang
Arunachal Pradesh,Upper Subansiri
Arunachal Pradesh,West Siang
Assam,Baksa
Assam,Barpeta
Assam,Bongaigaon
Assam,Cachar
Assam,Chirang
Assam,Darrang
Assam,Dhemaji
Assam,Dhubri
Assam,Dibrugarh
Assam,Dima Hasao
Assam,Goalpara
Assam,Golaghat
Assam,Hailakandi
Assam,Jorhat
Assam,Kamrup
Assam,Kamrup Metro
Assam,Karbi Anglong
Assam,Karimganj
Assam,Kokrajhar
Assam,Lakhimpur
Assam,Marigaon
Assam,Nagaon
Assam,Nalbari
Assam,Sivasagar
Assam,Sonitpur
Assam,Tinsukia
Assam,Udalguri
Bihar,Araria
Bihar,Arwal
Bihar,Aurangabad
Bihar,Banka
Bihar,Begusarai
Bihar,Bhagalpur
Bihar,Bhojpur
Bihar,Buxar
Bihar,Darbhanga
Bihar,Gaya
Bihar,Gopalganj
Bihar,Jamui
Bihar,Jehanabad
Bihar,Kaimur (Bhabua)
Bihar,Katihar
Bihar,Khagaria
Bihar,Kishanganj
Bihar,Lakhisarai
Bihar,Madhepura
Bihar,Madhubani
Bihar,Munger
Bihar,Muzaffarpur
Bihar,Nalanda
Bihar,Nawada
Bihar,Pashchim Champaran
Bihar,Patna
Bihar,Purbi Champaran
Bihar,Purnia
Bihar,Rohtas
Bihar,Saharsa
Bihar,Samastipur
Bihar,Saran
Bihar,Sheikhpura
Bihar,Sheohar
Bihar,Sitamarhi
Bihar,Siwan
Bihar,Supaul
Bihar,Vaishali
Chhattisgarh,Bastar
Chhattisgarh,Bijapur
Chhattisgarh,Bilaspur
Chhattisgarh,Dakshin Bastar Dantewada
Chhattisgarh,Dhamtari
Chhattisgarh,Durg
Chhattisgarh,Janjgir-Champa
Chhattisgarh,Jashpur
Chhattisgarh,Kabirdham
Chhattisgarh,Kanker
Chhattisgarh,Korba
Chhattisgarh,Korea
Chhattisgarh,Mahasamund
Chhattisgarh,Narayanpur
Chhattisgarh,Raigarh
Chhattisgarh,Raipur
Chhattisgarh,Rajnandgaon
Chhattisgarh,Surguja
The Dadra And Nagar Haveli And Daman And Diu,Surguja
Goa,North Goa
Gujarat,Ahmadabad
Gujarat,Amreli
Gujarat,Anand
Gujarat,Banas Kantha
Gujarat,Bharuch
Gujarat,Bhavnagar
Gujarat,Dang
Gujarat,Dohad
Gujarat,Gandhinagar
Gujarat,Jamnagar
Gujarat,Junagadh
Gujarat,Kachchh
Gujarat,Kheda
Gujarat,Mahesana
Gujarat,Narmada
Gujarat,Navsari
Gujarat,Panch Mahals
Gujarat,Patan
Gujarat,Porbandar
Gujarat,Rajkot
Gujarat,Sabar Kantha
Gujarat,Surat
Gujarat,Surendranagar
Gujarat,Tapi
Gujarat,Vadodara
Gujarat,Valsad
Haryana,Ambala
Haryana,Bhiwani
Haryana,Fatehabad
Haryana,Gurgaon
Haryana,Hisar
Haryana,Jhajjar
Haryana,Jind
Haryana,Kaithal
Haryana,Karnal
Haryana,Kurukshetra
Haryana,Mahendragarh
Haryana,Palwal
Haryana,Panchkula
Haryana,Panipat
Haryana,Rewari
Haryana,Rohtak
Haryana,Sirsa
Haryana,Sonipat
Haryana,Yamunanagar
Haryana,Faridabad
Haryana,Mewat
Himachal Pradesh,Kangra
Himachal Pradesh,Shimla
